title,type,genre_ids,overview,release_date,popularity,vote_average,poster_path
The Blacklist,series,"[18, 80, 9648]","Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",2013-09-23,133.6149,7.633,/4HTfd1PhgFUenJxVuBDNdLmdr0c.jpg
Chicago Fire,series,[18],"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",2012-10-10,132.4504,8.41,/r915sk2JpthZSjHEgZKifWxgo6L.jpg
Souryo to Majiwaru Shikiyoku no Yoru ni...,series,"[16, 18]","At a high school reunion, Mio Fukatani reunites with a classmate she has not seen in years—Takahide Kujou. She had always wanted to know more about the kind-hearted boy in high school, but once she realizes that Kujou has become a monk, she believes that any chance of getting to know him romantically is slim. Deciding to drink away her sorrows, she ends up walking home drunk, and surprisingly, running into Kujou who helps her get home.

However, once inside, Kujou's lust for Mio becomes apparent and the two share an erotic night of passion. As this steamy romance blossoms between these two unlikely lovers, Mio and Kujou will undoubtedly spend many nights together in utter ecstasy.",2017-04-03,121.9477,5.467,/ueI9EeoRdMVa7hWEm21nQEU8Zv3.jpg
Bleach,series,"[10759, 16, 10765]","For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",2004-10-05,132.32,8.363,/2EewmxXe72ogD0EaWM8gqa0ccIw.jpg
Radio Star,series,[10767],"“Radio Star” is a South Korean music talk show where the guests and hosts talk openly and intimately about their lives, their pasts and their work. It is part of Munhwa Broadcasting Corporation's ""Golden Fishery"" programming block.",2007-05-30,115.8324,5.4,/uRUZDsvUfIP3JUEgOC8ReBlQQUU.jpg
Miraculous: Tales of Ladybug & Cat Noir,series,"[10759, 16, 10762]","Marinette and Adrien, two Parisian teenagers, are entrusted with powerful jewels in order to transform into superheroes Ladybug and Cat Noir. But neither hero knows the other's true identity — or that they're classmates!",2015-10-19,129.3292,8.1,/acrtAy8gmxcsEvrDP09MpMSCeDZ.jpg
Jornal Nacional,series,[10763],"Jornal Nacional is a Brazilian Emmy-winning primetime news program aired by Rede Globo since September 1, 1969. It was the first news program broadcast live by a television network throughout Brazil.",1969-09-01,122.5021,7.0,/g0x9tcHp8SV8UH4yq40g5zu6phu.jpg
All Elite Wrestling: Dynamite,series,"[10759, 18]",A world-class roster of diverse male and female wrestlers give fans a new wrestling experience for the first time in 20 years.,2019-10-02,124.9344,8.0,/gPNWVCp0zrHRmwfovUpUQO44sts.jpg
Stranger Things,series,"[10759, 9648, 10765]","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016-07-15,119.8111,8.553,/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg
Among Friends,series,"[18, 10751]",Miklós introduces viewers into the world of Money and Charm.,1998-10-26,124.2827,3.775,/kBBbSgNchtMvsgD6z1oI1RRluHP.jpg
S.W.A.T.,series,"[80, 10759, 18]","A Los Angeles S.W.A.T. sergeant is assigned to lead a highly skilled unit in the community where he grew up. Torn between loyalty to the streets, where the cops are sometimes the enemy, and allegiance to his brothers in blue, he strategically straddles the two worlds.",2017-11-02,119.5141,8.038,/1l7vsAIkqOzrqiPwjO27Cb5QdfJ.jpg
Frasier,series,"[35, 10751]","After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",1993-09-16,118.7562,7.701,/gYAb6GCVEFsU9hzMCG5rxaxoIv3.jpg
